Date,Hour,Rentals_Count,Temperature_C,Humidity_pct,Wind_Speed_ms,Visibility_m,Solar_Radiation_MJm2,Rainfall_mm,Season,Holiday,Functioning_Day,Library_Branch,Top_Category,Membership_Type,Day_of_Week,Month,Day,Is_Peak_Hour,Temperature_Bin,Is_Weekend
2023-01-01,9,51.0,21.7,40.6,5.0,1473.0,2.51,0.0,Winter,Yes,Yes,University Branch,History,Walk-In,Sunday,1,1,1,Cool,0
2023-01-01,10,44.0,25.3,70.2,7.0,1493.0,2.47,1.1,Winter,Yes,Yes,Al Hamra Branch,Non-Fiction,Student,Sunday,1,1,1,Warm,0
2023-01-01,14,62.0,28.7,45.9,6.3,867.0,2.88,0.0,Winter,Yes,Yes,University Branch,Technology,Regular,Sunday,1,1,0,Warm,0
2023-01-01,16,91.0,26.9,60.2,5.2,1750.0,1.48,0.0,Winter,Yes,Yes,University Branch,Business,Premium,Sunday,1,1,1,Warm,0
2023-01-01,18,34.0,26.4,68.5,5.3,1531.0,0.53,0.0,Winter,Yes,Yes,Corniche Kiosk,Fiction,Premium,Sunday,1,1,1,Warm,0
2023-01-01,19,57.0,32.2,78.0,6.2,1628.0,0.0,0.0,Nan,Yes,Yes,University Branch,Children,Walk-In,Sunday,1,1,1,Warm,0
2023-01-01,20,41.0,23.2,69.1,4.8,1092.0,0.0,0.0,Winter,Yes,Yes,University Branch,History,Regular,Sunday,1,1,0,Cool,0
2023-01-02,8,43.0,21.3,60.5,7.3,998.0,0.01,0.0,Winter,No,Yes,University Branch,Technology,Walk-In,Monday,1,2,0,Cool,0
2023-01-02,9,31.0,21.6,65.5,1.0,1834.0,1.41,0.0,Winter,No,Yes,Corniche Kiosk,History,Regular,Monday,1,2,1,Cool,0
2023-01-02,10,33.0,22.7,53.6,7.1,1855.0,1.29,0.0,Winter,No,Yes,Corniche Kiosk,Technology,Regular,Monday,1,2,1,Cool,0
2023-01-02,11,44.0,24.8,43.1,6.7,853.0,1.17,0.0,Winter,No,Yes,Al Hamra Branch,Science,Walk-In,Monday,1,2,1,Cool,0
2023-01-02,16,52.0,25.4,71.1,3.5,1545.0,0.54,0.0,Winter,No,Yes,Al Rawdah Branch,Science,Walk-In,Monday,1,2,1,Warm,0
2023-01-02,18,51.0,24.4,43.2,1.9,1194.0,3.03,0.0,Winter,No,Yes,Al Hamra Branch,Children,Walk-In,Monday,1,2,1,Cool,0
2023-01-03,9,52.0,32.2,71.9,2.8,1171.0,1.43,0.0,Winter,No,Yes,Al Hamra Branch,Science,Student,Tuesday,1,3,1,Warm,0
2023-01-03,10,74.0,24.7,64.6,1.1,1419.0,2.22,0.0,Winter,No,Yes,Al Rawdah Branch,Technology,Student,Tuesday,1,3,1,Cool,0
2023-01-03,11,65.0,22.6,70.1,4.0,1469.0,3.21,0.0,Winter,No,Yes,Al Rawdah Branch,Business,Premium,Tuesday,1,3,1,Cool,0
2023-01-03,12,65.0,25.8,40.6,2.5,1184.0,1.89,0.0,Winter,No,Yes,Al Rawdah Branch,Arabic Literature,Student,Tuesday,1,3,0,Warm,0
2023-01-03,13,75.0,26.2,66.6,5.0,1065.0,0.77,0.0,Winter,No,Yes,Downtown Central,Arabic Literature,Premium,Tuesday,1,3,0,Warm,0
2023-01-03,14,70.0,26.4,55.6,2.6,1941.0,1.48,0.0,Winter,No,Yes,University Branch,Fiction,Regular,Tuesday,1,3,0,Warm,0
2023-01-03,17,99.0,24.2,47.2,7.7,930.0,0.09,0.0,Winter,No,Yes,University Branch,Arabic Literature,Student,Tuesday,1,3,1,Cool,0
2023-01-03,18,29.0,24.5,48.3,5.3,1794.0,2.48,0.0,Winter,No,Yes,Corniche Kiosk,Technology,Walk-In,Tuesday,1,3,1,Cool,0
2023-01-03,19,95.0,23.8,71.4,4.4,1029.0,0.0,0.0,Winter,No,Yes,University Branch,Business,Student,Tuesday,1,3,1,Cool,0
2023-01-03,21,39.0,20.7,41.1,1.4,1443.0,0.0,0.0,Winter,No,Yes,Al Rawdah Branch,History,Student,Tuesday,1,3,0,Cool,0
2023-01-03,22,27.0,20.3,38.3,4.1,1209.0,0.0,0.0,Winter,No,Yes,Al Hamra Branch,Business,Regular,Tuesday,1,3,0,Cool,0
2023-01-04,8,46.0,22.0,42.2,1.1,803.0,1.58,0.0,Winter,No,Yes,Al Hamra Branch,Fiction,Student,Wednesday,1,4,0,Cool,0
2023-01-04,9,31.0,22.5,71.6,4.0,1165.0,1.41,0.0,Winter,No,Yes,Corniche Kiosk,Business,Walk-In,Wednesday,1,4,1,Cool,0
2023-01-04,11,58.0,24.0,68.9,4.9,1562.0,1.72,0.0,Winter,No,Yes,Al Hamra Branch,Arabic Literature,Premium,Wednesday,1,4,1,Cool,0
2023-01-04,12,68.0,26.1,67.7,6.2,1044.0,1.92,0.0,Winter,No,Yes,University Branch,Business,Regular,Wednesday,1,4,0,Warm,0
2023-01-04,17,69.0,23.3,56.6,4.2,974.0,0.67,0.0,Winter,No,Yes,Al Rawdah Branch,Non-Fiction,Premium,Wednesday,1,4,1,Cool,0
2023-01-04,19,65.0,25.0,47.2,6.9,1293.0,0.0,0.0,Winter,No,Yes,University Branch,Arabic Literature,Walk-In,Wednesday,1,4,1,Warm,0
2023-01-04,21,25.0,20.3,65.0,5.2,1277.0,0.0,0.0,Winter,No,Yes,Al Hamra Branch,Arabic Literature,Premium,Wednesday,1,4,0,Cool,0
2023-01-04,22,32.0,20.2,51.9,2.3,1294.0,0.0,0.0,Winter,No,Yes,Al Rawdah Branch,Science,Student,Wednesday,1,4,0,Cool,0
2023-01-05,9,76.0,22.3,50.5,5.7,826.0,2.91,0.0,Winter,No,Yes,Downtown Central,Fiction,Nan,Thursday,1,5,1,Cool,0
2023-01-05,11,60.0,23.6,70.1,3.6,1041.0,2.75,0.0,Winter,No,Yes,Al Hamra Branch,Technology,Student,Thursday,1,5,1,Cool,0
2023-01-05,12,56.0,28.6,40.9,3.9,1607.0,2.35,0.0,Winter,No,Yes,Al Hamra Branch,Non-Fiction,Student,Thursday,1,5,0,Warm,0
2023-01-05,14,63.0,27.3,75.2,4.6,1505.0,2.54,0.0,Winter,No,Yes,Downtown Central,Business,Walk-In,Thursday,1,5,0,Warm,0
2023-01-05,15,33.0,26.5,48.8,7.8,861.0,1.17,0.0,Winter,No,Yes,Corniche Kiosk,History,Regular,Thursday,1,5,0,Warm,0
2023-01-05,19,74.0,25.0,38.2,1.5,1305.0,0.0,0.0,Winter,No,Yes,Downtown Central,Business,Walk-In,Thursday,1,5,1,Warm,0
2023-01-05,21,23.0,23.9,38.4,5.1,879.0,0.0,0.0,Winter,No,Yes,Corniche Kiosk,Children,Walk-In,Thursday,1,5,0,Cool,0
